,Word,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,ConcValCombo
0,worthless,1.97,1.32,1.89,1.41,abstract-negative
1,awful,1.92,1.09,2.28,1.96,abstract-negative
2,evil,1.93,1.44,2.34,1.61,abstract-negative
3,soulless,1.52,1.09,2.71,1.68,abstract-negative
4,heartless,1.79,1.17,2.8,1.88,abstract-negative
5,sexist,1.83,1.26,3.4,2.37,abstract-negative
6,crappy,1.67,0.84,2.35,1.57,abstract-negative
7,stupid,1.75,0.97,2.84,2.01,abstract-negative
8,sinful,1.87,1.17,3.37,2.39,abstract-negative
9,disloyal,1.64,0.99,2.27,1.22,abstract-negative
10,sunny,4.2,1.12,7.95,0.89,concrete-positive
11,lilac,4.69,0.97,6.95,1.23,concrete-positive
12,human,4.93,0.26,6.45,1.74,concrete-positive
13,female,4.57,0.88,7.52,1.86,concrete-positive
14,newborn,4.39,1.03,7.48,1.69,concrete-positive
15,blooming,4.07,0.92,7.19,1.25,concrete-positive
16,orange,4.66,0.9,6.81,1.54,concrete-positive
17,starry,4.08,1.15,7.4,1.5,concrete-positive
18,pregnant,4.59,0.89,7.17,2.33,concrete-positive
19,handmade,4.25,0.97,7.11,1.85,concrete-positive
20,honest,1.66,1.08,8.16,1.12,abstract-positive
21,lovable,1.97,1.27,8.26,0.99,abstract-positive
22,thankful,1.69,0.76,7.76,1.65,abstract-positive
23,splendid,1.79,0.94,7.62,1.28,abstract-positive
24,possible,1.56,1.01,7.14,0.99,abstract-positive
25,sensible,1.52,0.87,6.74,1.05,abstract-positive
26,mindful,1.48,0.65,6.7,1.3,abstract-positive
27,pleasant,1.55,0.91,7.24,1.51,abstract-positive
28,helpful,1.76,1.02,7.43,1.43,abstract-positive
29,divine,1.44,1.09,7.15,1.42,abstract-positive
30,toothless,4.26,0.98,2.52,1.5,concrete-negative
31,headless,4.42,0.95,2.95,1.54,concrete-negative
32,bloodshot,4.26,0.96,2.85,1.53,concrete-negative
33,rusted,4.44,0.85,3.27,1.64,concrete-negative
34,thorny,4.26,0.93,3.1,1.59,concrete-negative
35,hairy,4.48,0.98,3.8,1.28,concrete-negative
36,dirty,4.23,1.14,3.17,1.89,concrete-negative
37,wrinkled,4.29,1.16,3.74,1.45,concrete-negative
38,freezing,4.04,1.14,3.33,1.88,concrete-negative
39,bloody,4.08,1.25,2.86,2.29,concrete-negative