,Word,SocPhys.Mean,SocPhys.SD,V.Mean.Sum,V.SD.Sum,Valence,SocPhys
0,moldy,1.85714285714286,2.26778683805536,1.95,0.94,negative,physical
1,nauseous,2.8,2.16794833886788,1.95,1.85,negative,physical
2,excruciating,3.0,2.72029410174709,2.1,1.51,negative,physical
3,comatose,1.90909090909091,1.92117388356939,2.0,1.0,negative,physical
4,obese,1.57142857142857,1.51185789203691,2.32,1.25,negative,physical
5,lifeless,2.0,1.4142135623731,2.24,1.61,negative,physical
6,rancid,1.8125,1.10867789130417,2.38,1.72,negative,physical
7,seasick,2.75,1.98390963400489,1.89,1.29,negative,physical
8,itchy,1.75,1.48064435037847,2.53,1.43,negative,physical
9,smelly,1.90909090909091,1.70026735865542,2.68,1.46,negative,physical
10,brotherly,7.0,0.0,7.45,1.36,positive,social
11,joyful,6.54545454545455,0.934198732993827,8.21,0.98,positive,social
12,cheerful,6.6,0.547722557505166,8.0,1.41,positive,social
13,easygoing,6.9375,0.25,7.03,1.35,positive,social
14,carefree,6.6875,0.478713553878169,7.32,1.49,positive,social
15,hilarious,6.5625,0.813941029804985,7.8,1.54,positive,social
16,selfless,6.8,0.447213595499958,7.11,1.49,positive,social
17,dependable,6.6,0.547722557505166,7.24,1.34,positive,social
18,courageous,6.25,1.64472739538448,8.05,0.71,positive,social
19,witty,6.63636363636364,0.902137912878521,7.25,1.21,positive,social
20,fluffy,1.0,0.0,7.11,1.29,positive,physical
21,sunny,2.2,1.6431676725155,7.95,0.89,positive,physical
22,blooming,2.0,1.22474487139159,7.19,1.25,positive,physical
23,floral,2.0,1.73205080756888,7.42,1.3,positive,physical
24,oceanic,2.27272727272727,1.60895760936843,7.45,1.26,positive,physical
25,decorative,2.28571428571429,1.60356745147455,7.52,1.47,positive,physical
26,nutritious,2.25,1.34164078649987,7.09,1.44,positive,physical
27,homemade,2.4,1.94935886896179,7.38,1.02,positive,physical
28,radiant,2.71428571428571,1.38013111868471,7.29,1.31,positive,physical
29,newborn,2.25,1.73205080756888,7.48,1.69,positive,physical
30,insulting,6.8,0.447213595499958,1.89,0.94,negative,social
31,greedy,6.6,0.547722557505166,2.1,1.48,negative,social
32,grumpy,6.8,0.447213595499958,2.81,1.25,negative,social
33,heartbroken,6.1875,1.22304265393049,1.95,1.0,negative,social
34,racist,6.63636363636364,0.924416277737175,2.05,1.69,negative,social
35,dreaded,6.0,1.09544511501033,2.11,1.33,negative,social
36,humiliating,6.36363636363636,1.176979772673,2.16,1.57,negative,social
37,stingy,6.57142857142857,1.13389341902768,2.53,1.47,negative,social
38,infuriating,6.27272727272727,1.00904995821903,2.63,1.21,negative,social
39,hateful,6.09090909090909,1.92117388356939,1.9,0.91,negative,social