ConcValCombo,Word
abstract-negative,lonliness
abstract-negative,regret
abstract-negative,anxiety
abstract-negative,despair
abstract-negative,guilt
abstract-negative,grief
abstract-negative,resentment
abstract-negative,failure
abstract-negative,shame
abstract-negative,envy
concrete-positive,sunshine
concrete-positive,laughter
concrete-positive,flowers
concrete-positive,music
concrete-positive,beach
concrete-positive,hug
concrete-positive,home
concrete-positive,rain
concrete-positive,chocolate
concrete-positive,fireplace
abstract-positive,love
abstract-positive,hope
abstract-positive,joy
abstract-positive,peace
abstract-positive,freedom
abstract-positive,kindness
abstract-positive,happiness
abstract-positive,compassion
abstract-positive,gratitude
abstract-positive,inspiration
concrete-negative,smoke
concrete-negative,rot
concrete-negative,mud
concrete-negative,vomit
concrete-negative,garbage
concrete-negative,rust
concrete-negative,mold
concrete-negative,injury
concrete-negative,stench
concrete-negative,filth